symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
HEROMOTOCO,2024-02-15,2024-03-01,4494.95,4173.35,2,-7.15,-7.49,STOP_LOSS_GAP,68.2,70.4,100,50,55,55,0,60
MARUTI,2024-02-16,2024-05-06,11153.2,12252.28,10,9.85,9.63,TRAIL_STOP,68.8,67.9,86,80,60,40,0,60
BPCL,2024-02-22,2024-03-18,291.9,261.51,3,-10.41,-10.81,STOP_LOSS_GAP,69.6,76.5,100,50,35,90,0,45
BAJAJ-AUTO,2024-02-22,2024-06-11,7942.05,9110.4,14,14.71,14.4,TARGET_2,70.9,77.5,100,50,55,70,0,60
CIPLA,2024-02-29,2024-04-19,1425.33,1309.27,6,-8.14,-8.49,STOP_LOSS_GAP,67.7,70.0,100,57,55,43,0,60
APOLLOHOSP,2024-03-07,2024-07-03,6051.69,6158.39,15,1.76,1.44,END_OF_REPLAY,67.9,75.1,100,30,55,90,0,48
HEROMOTOCO,2024-03-07,2024-04-19,4217.52,3896.19,5,-7.62,-7.96,STOP_LOSS,67.8,70.1,100,52,55,55,0,55
TATACONSUM,2024-03-07,2024-03-26,1174.07,1080.56,2,-7.96,-8.31,STOP_LOSS_GAP,70.0,71.8,100,50,70,55,0,60
SHRIRAMFIN,2024-03-15,2024-03-26,482.75,443.85,1,-8.06,-8.43,STOP_LOSS_GAP,70.2,77.0,100,47,70,60,0,60
RELIANCE,2024-03-22,2024-06-04,1422.32,1343.1,9,-5.57,-5.82,STOP_LOSS,69.7,71.5,100,60,55,55,0,55
SUNPHARMA,2024-03-22,2024-05-28,1541.78,1441.4,8,-6.51,-6.85,STOP_LOSS_GAP,68.5,75.6,100,47,55,65,0,55
M&M,2024-03-22,2024-05-21,1827.87,2289.04,7,25.23,24.92,TARGET_2_GAP,78.8,82.4,100,80,55,80,0,55
DMART,2024-03-26,2024-07-18,4486.2,5063.91,15,12.88,12.57,T1_PARTIAL_BE,67.9,72.1,68,72,75,65,0,60
TCS,2024-04-02,2024-06-04,3587.72,3357.73,8,-6.41,-6.65,STOP_LOSS,68.2,75.4,100,55,55,60,0,48
SHRIRAMFIN,2024-04-02,2024-06-26,461.66,557.45,11,20.75,20.42,TARGET_2_GAP,69.6,76.5,100,40,70,70,0,55
NTPC,2024-04-03,2024-06-04,334.85,308.21,8,-7.96,-8.34,STOP_LOSS,67.3,74.7,100,42,55,60,0,60
HINDALCO,2024-04-03,2024-06-04,569.14,650.21,8,14.24,13.91,TRAIL_STOP,70.2,72.0,100,60,60,55,0,55
TATASTEEL,2024-04-09,2024-06-04,153.59,141.96,7,-7.58,-7.93,STOP_LOSS,78.4,82.2,100,67,70,80,0,60
TMPV,2024-04-25,2024-06-04,949.11,876.21,5,-7.68,-7.94,STOP_LOSS,68.2,75.5,100,50,55,60,0,55
AXISBANK,2024-04-26,2024-08-08,1128.46,1218.05,14,7.94,7.7,TRAIL_STOP,65.7,65.3,78,65,75,45,0,60
LT,2024-04-26,2024-05-13,3509.75,3180.55,2,-9.38,-9.62,STOP_LOSS_GAP,65.3,68.0,100,40,75,43,0,55
DIVISLAB,2024-04-26,2024-08-01,3973.76,4939.6,13,24.31,24.0,TARGET_2,66.1,70.7,53,90,40,90,0,50
ICICIBANK,2024-05-03,2024-07-25,1090.03,1190.54,11,9.22,8.98,TRAIL_STOP,71.8,70.1,100,75,55,43,0,60
GRASIM,2024-05-03,2024-06-04,2325.02,2176.82,4,-6.37,-6.71,STOP_LOSS,69.9,71.8,100,67,70,33,0,60
COALINDIA,2024-05-06,2024-06-04,404.97,366.2,4,-9.57,-9.95,STOP_LOSS,66.6,74.1,100,45,35,80,0,45
BRITANNIA,2024-05-06,2024-08-23,4931.93,5625.32,15,14.06,13.75,T1_PARTIAL_BE,66.1,70.7,78,55,75,65,0,55
BHARTIARTL,2024-05-10,2024-08-23,1265.71,1456.57,14,15.08,14.85,TARGET_2,73.5,79.2,100,57,55,80,0,55
CIPLA,2024-05-13,2024-08-30,1375.03,1590.11,15,15.64,15.33,T1_PARTIAL_BE,72.5,78.6,100,50,75,70,0,55
HEROMOTOCO,2024-05-13,2024-07-25,4571.65,5157.55,10,12.82,12.5,TRAIL_STOP,71.2,72.7,100,70,60,43,0,60
JSWSTEEL,2024-05-17,2024-09-06,851.62,930.29,15,9.24,8.91,END_OF_REPLAY,69.3,68.3,93,65,75,45,0,55
EICHERMOT,2024-05-17,2024-06-04,4547.45,4200.93,2,-7.62,-7.96,STOP_LOSS,79.6,79.8,100,72,55,90,0,60
MARUTI,2024-05-21,2024-06-04,12224.28,11500.51,2,-5.92,-6.16,STOP_LOSS,69.7,71.5,100,60,55,55,0,55
TRENT,2024-05-27,2024-06-04,4655.59,4269.5,1,-8.29,-8.63,STOP_LOSS,70.6,72.3,100,70,55,43,0,60
POWERGRID,2024-05-27,2024-06-04,304.75,282.06,1,-7.45,-7.83,STOP_LOSS,74.0,74.6,100,75,55,55,0,60
LT,2024-05-28,2024-06-04,3561.34,3263.52,1,-8.36,-8.61,STOP_LOSS,69.1,71.1,100,55,75,45,0,55
ADANIPORTS,2024-06-03,2024-09-20,1381.94,1425.73,15,3.17,2.93,END_OF_REPLAY,70.7,72.3,100,70,70,43,0,50
