symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
BRITANNIA,2024-05-06,2024-08-23,4931.93,5625.32,15,14.06,13.75,T1_PARTIAL_BE,66.1,70.7
EICHERMOT,2024-05-06,2024-06-04,4490.38,4171.39,4,-7.1,-7.44,STOP_LOSS,73.3,71.1
BHARTIARTL,2024-05-13,2024-08-01,1268.22,1453.03,11,14.57,14.25,TARGET_2,69.9,76.7
CIPLA,2024-05-13,2024-08-30,1375.03,1590.11,15,15.64,15.33,T1_PARTIAL_BE,72.5,78.6
HEROMOTOCO,2024-05-13,2024-07-25,4571.65,5169.52,10,13.08,12.77,TRAIL_STOP,71.2,72.7
MARUTI,2024-05-21,2024-06-04,12224.28,11545.75,2,-5.55,-5.88,STOP_LOSS,69.7,71.5
ADANIPORTS,2024-05-21,2024-06-04,1367.14,1247.53,2,-8.75,-9.1,STOP_LOSS,66.6,69.2
LT,2024-05-28,2024-06-04,3561.34,3282.14,1,-7.84,-8.18,STOP_LOSS,69.1,71.1
POWERGRID,2024-05-28,2024-06-04,292.73,271.15,1,-7.37,-7.76,STOP_LOSS,68.5,70.6
M&M,2024-06-04,2024-09-20,2533.84,2927.33,15,15.53,15.22,END_OF_REPLAY,65.0,72.8
ULTRACEMCO,2024-06-04,2024-08-01,9797.72,11448.16,8,16.85,16.54,TARGET_2,70.9,77.5
MARUTI,2024-06-11,2024-07-03,12606.84,11731.35,3,-6.94,-7.28,STOP_LOSS,68.8,70.9
NTPC,2024-06-11,2024-09-27,350.24,419.79,15,19.86,19.51,END_OF_REPLAY,67.2,74.6
POWERGRID,2024-06-11,2024-09-27,296.24,334.27,15,12.84,12.48,END_OF_REPLAY,69.4,76.3
COALINDIA,2024-06-11,2024-09-27,418.81,458.3,15,9.43,9.08,END_OF_REPLAY,67.2,74.6
GRASIM,2024-06-11,2024-09-27,2438.62,2773.06,15,13.71,13.4,END_OF_REPLAY,76.0,80.8
EICHERMOT,2024-06-11,2024-09-27,4646.26,4997.8,15,7.57,7.25,END_OF_REPLAY,72.1,78.3
HINDALCO,2024-06-11,2024-09-27,664.24,741.71,15,11.66,11.33,END_OF_REPLAY,69.4,76.3
HDFCBANK,2024-06-19,2024-10-07,817.87,798.11,15,-2.42,-2.76,END_OF_REPLAY,68.3,72.5
ADANIPORTS,2024-06-19,2024-10-07,1435.34,1342.98,15,-6.43,-6.78,END_OF_REPLAY,66.4,65.9
TATASTEEL,2024-06-19,2024-07-25,168.96,152.72,5,-9.61,-10.05,STOP_LOSS,68.1,70.3
SBIN,2024-06-26,2024-10-07,814.04,741.12,14,-8.96,-9.31,STOP_LOSS,71.7,78.0
RELIANCE,2024-06-26,2024-10-07,1495.98,1404.67,14,-6.1,-6.45,STOP_LOSS,71.9,75.2
TECHM,2024-06-26,2024-10-14,1336.33,1585.06,15,18.61,18.3,T1_PARTIAL_BE,69.0,68.1
DRREDDY,2024-07-03,2024-10-21,1269.56,1331.04,15,4.84,4.51,END_OF_REPLAY,66.6,71.1
TATACONSUM,2024-07-03,2024-10-21,1128.37,1055.13,15,-6.49,-6.84,STOP_LOSS,69.8,76.6
SHRIRAMFIN,2024-07-03,2024-10-07,554.65,666.45,13,20.16,19.83,TRAIL_STOP,77.5,81.8
MARUTI,2024-07-10,2024-10-28,12517.8,11565.92,15,-7.6,-7.94,STOP_LOSS,69.7,73.5
SUNPHARMA,2024-07-10,2024-09-27,1568.56,1818.18,11,15.91,15.6,TARGET_2,65.6,63.3
ONGC,2024-07-10,2024-10-28,268.6,241.14,15,-10.22,-10.62,STOP_LOSS,73.8,79.5
TCS,2024-07-18,2024-11-04,4022.05,3765.22,15,-6.39,-6.72,STOP_LOSS,76.0,77.8
HINDUNILVR,2024-07-18,2024-10-28,2657.84,2509.63,14,-5.58,-5.91,STOP_LOSS,69.2,73.2
SBILIFE,2024-07-18,2024-10-07,1654.35,1838.32,11,11.12,10.8,TRAIL_STOP,65.1,59.9
BAJAJ-AUTO,2024-07-18,2024-09-13,9257.97,10794.27,8,16.59,16.29,TARGET_2,69.0,76.0
INFY,2024-07-25,2024-11-11,1715.33,1768.37,15,3.09,2.76,END_OF_REPLAY,68.8,67.9
